,,,
A change log showing journals withdrawn from DOAJ from 19th March 2014 to 31st January 2024,,,
,,,
A new change log is available. This spreadsheet is no longer updated.,,,
,,,
,,,
Journal Title,ISSN,Date Removed (dd/mm/yyyy),Reason
"Journal of Language, Technology & Entrepreneurship in Africa",2309-5814,4-Jan-2017,Journal not adhering to Best practice
Journal of Library Innovation,1947-525X,4-Jan-2017,Ceased publishing
Journal of Teaching and Learning with Technology,2165-2554,4-Jan-2017,Journal not adhering to Best practice
The Sedimantary Record,1543-8740,4-Jan-2017,Journal not adhering to Best practice
KCA Journal of Business Management,2072-7992,4-Jan-2017,Journal not adhering to Best practice
International Journal of Computer Information Systems and Industrial Management Applications,2150-7988,4-Jan-2017,Journal not adhering to Best practice
World Applied Programming,2222-2510,4-Jan-2017,Journal not adhering to Best practice
The Permanente Journal,1552-5775,4-Jan-2017,journal no longer open access
Akroterion,2079-2883,4-Jan-2017,Journal not adhering to Best practice
Preventing Chronic Disease,1545-1151,4-Jan-2017,Journal not adhering to Best practice
Journal of Genomics,1839-9940,4-Jan-2017,not enough articles in 2016
Plant Gene,2352-4073,4-Jan-2017,Journal is no longer Open Access
Revista Cubana de Ciencias Biológicas,2307-695X,3-Jan-2017,Web site URL no longer works
Tradition & Discovery : the Polanyi Society Periodical,2154-1566,3-Jan-2017,Journal not adhering to Best practice
Journal of Politics in Latin America,1868-4890,3-Jan-2017,Journal not adhering to Best practice
Afrikanistik Online,1860-7462,3-Jan-2017,Journal not adhering to Best practice
Mathematics and Mechanics of Complex Systems,2325-3444,3-Jan-2017,Journal not adhering to Best practice
en Access Journal of Forensic Psychology,1948-5115,3-Jan-2017,Journal not adhering to Best practice
Philosophy and Public Issues,2240-7987,3-Jan-2017,Journal not adhering to Best practice
Biblica : Commentarii ad rem Biblicam Scientifice Investigandam,2385-2062,3-Jan-2017,Missing OA statement
Barroco,1941-174X,3-Jan-2017,Inactive journal
Revista de la Sociedad Española del Dolor,1134-8046,3-Jan-2017,Journal not adhering to Best practice
Cadernos de Logepa,2237-7522,3-Jan-2017,Inactive journal
Beden Eğitimi ve Spor Bilim Dergisi,1300-9915,2-Jan-2017,Web site URL no longer works
Turkish Journal of Sport and Exercise,2147-5652,2-Jan-2017,Web site URL no longer works
Ukrainian Journal of Physics,0960-6068,2-Jan-2017,Journal not adhering to Best practice and issn dead
Âderna Fìzika ta Energetika,1818-331X,2-Jan-2017,Journal not adhering to Best practice
L'Atelier,2109-9103,31-Dec-2016,Journal not adhering to Best practice
RSBO,1806-7727,31-Dec-2016,Journal not adhering to Best practice
International Journal of Drug Development & Research,0975-9344,30-Dec-2016,Journal not adhering to Best practice
JOP Journal of the Pancreas,1590-8577,30-Dec-2016,Journal not adhering to Best practice
Electronic Journal of Biology,1860-3122,30-Dec-2016,Journal not adhering to Best practice
International Journal of Applied Biology and Pharmaceutical Technology,0976-4550,30-Dec-2016,Journal not adhering to Best practice
EtnoAntropoZum,1409-939X,30-Dec-2016,Journal not adhering to Best practice
Synergies Monde,1951-6908,29-Dec-2016,Journal not adhering to Best practice
Colloquium Vitae,1984-6436,29-Dec-2016,Journal not adhering to Best practice
Sovremennye Issledovaniâ Socialʹnyh Problem ,2077-1770,28-Dec-2016,Web site URL will change
Afrika Focus,0772-084X,28-Dec-2016,Journal not adhering to Best practice
Trypillian Civilization Journal ,2155-871X,28-Dec-2016,Journal not adhering to Best practice
Revija za Socijalna Politika,1857-6052,27-Dec-2016,Ceased publishing
Asimmetriâ,1999-6489,27-Dec-2016,Journal not adhering to Best practice
Ekonomska Revija (Tuzla),1512-8962,25-Dec-2016,no OA statement  no licence
Sport Scientific And Practical Aspects,1840-4413,25-Dec-2016,no OA statement  no licence
Zbornik Radova Ekonomskog Fakulteta u Istočnom Sarajevu,1840-3557,25-Dec-2016,no OA statement  no licence
Aisthesis,0718-7181,24-Dec-2016,Journal not adhering to Best practice
Kompiuteruli Mec'nierebani da Telekomunikac'iebi,1512-1232,24-Dec-2016,no OA statement  no licence
Montenegrin Journal of Sports Science and Medicine,1800-8755,24-Dec-2016,Journal not adhering to Best practice
Research in Kinesiology,1857-7679,24-Dec-2016,Journal not adhering to Best practice
Poljoprivreda i Šumarstvo,0554-5579,24-Dec-2016,Journal not adhering to Best practice
Lingua Montenegrina,1800-7007,24-Dec-2016,Journal not adhering to Best practice
Zoosystema,1280-9551,23-Dec-2016,Journal not adhering to Best practice
McGill Journal of Education,1916-0666,23-Dec-2016,Journal not adhering to Best practice
"Intersectionalities: A Global Journal of Social Work Analysis, Research, Polity and Practice",1925-1270,23-Dec-2016,Journal not adhering to Best practice
Alcance,2411-9970,21-Dec-2016,Web site URL no longer works
Élisee,2316-4360,21-Dec-2016,Journal not adhering to Best practice
Sovremennye Tehnologii Upravleniâ,2226-9339,21-Dec-2016,Journal not adhering to Best practice
Scientific Herald of the Voronezh State University of Architecture and Civil Engineering,2075-0811,20-Dec-2016,Journal not adhering to Best practice
Bulletin of Mathematical Sciences and Applications,2278-9634,20-Dec-2016,Journal not adhering to Best practice
"International Letters of Chemistry, Physics and Astronomy",2299-3843,20-Dec-2016,Journal not adhering to Best practice
International Letters of Social and Humanistic Sciences,2300-2697,20-Dec-2016,Journal not adhering to Best practice
Kliničeskaâ i Specialʹnaâ Psihologiâ,2304-0394,20-Dec-2016,Journal not adhering to Best practice
International Journal of Supply Chain Management,2050-7399,20-Dec-2016,Journal not adhering to Best practice
DEARQ : Journal of Architecture,2215-969X,20-Dec-2016,Journal not adhering to Best practice
International Journal of Safety and Security in Tourism and Hospitality,2250-5105,20-Dec-2016,Journal not adhering to Best practice
Facta Universitatis Series: Architecture and Civil Engineering,0354-4605,19-Dec-2016,no licence
Journal of Automatic Control,1450-9903,19-Dec-2016,no licence
Medicinski Pregled,0025-8105,19-Dec-2016,no licence
"Facta Universitatis Series: Physics, Chemistry and Technology",0354-4656,19-Dec-2016,no licence
Sociologija,0038-0318,19-Dec-2016,no licence
Zbornik Matice Srpske za Drustvene Nauke,0352-5732,19-Dec-2016,no licence
Ilorin Journal of Religious Studies,2141-7040,19-Dec-2016,Journal not adhering to Best practice
Journal of Indigenous Voices in Social Work ,2151-349X,19-Dec-2016,"Ceased publishing, continued by 2164-9170"
Ethiopian Journal of Science,2220-184X,19-Dec-2016,Journal not adhering to Best practice
D-Lib Magazine,1082-9873,19-Dec-2016,Journal not adhering to Best practice
"Pachyderm : Journal of the African Elephant, African Rhino and Asian Rhino Specialist Groups",1683-5018,19-Dec-2016,Journal not adhering to Best practice
International Journal of Advanced Legal Studies and Governance,2141-6710,19-Dec-2016,Journal not adhering to Best practice
Enliven: Journal of Anesthesiology and Critical Care Medicine,2374-4448,19-Dec-2016,Journal not adhering to Best practice
Naučnyj Žurnal Kubanskogo Gosudarstvennogo Agrarnogo Universiteta ,1990-4665,19-Dec-2016,Journal not adhering to Best practice
English for Specific Purposes World,1682-3257,18-Dec-2016,Journal not adhering to Best practice
Revista Finlay,2221-2434,18-Dec-2016,Journal not adhering to Best practice
The Middle Ground Journal,2155-1103,18-Dec-2016,Journal not adhering to Best practice
Pesquisa Aplicada & Agrotecnologia,1984-7548,18-Dec-2016,Journal not adhering to Best practice
Internet-Vestnik VolgGASU ,1994-0351,18-Dec-2016,Journal not adhering to Best practice
MedULA,0798-3166,17-Dec-2016,Journal not adhering to Best practice
Molecular Medicine,1076-1551,15-Dec-2016,Journal not adhering to Best practice
Notices of the American Mathematical Society.,0002-9920,15-Dec-2016,Journal not adhering to Best practice
Vision Pan-America,2219-4665,14-Dec-2016,Journal not adhering to Best practice
Arts and Social Sciences Journal,2151-6200,14-Dec-2016,Journal not adhering to Best practice
Fisheries and Aquaculture Journal,2150-3508,14-Dec-2016,Journal not adhering to Best practice
Social Studies Research and Practice,1933-5415,10-Dec-2016,Journal not adhering to Best practice
Journal of the Faculty of Veterinary Medicine ,1017-8422,8-Dec-2016,Journal not adhering to Best practice
Knowledge & Health Journal,1735-577X,8-Dec-2016,Journal not adhering to Best practice
Revista Investigación Operacional,0257-4306,15-Dec-2016,Journal not adhering to Best practice
Prismas: Revista de Historia Intelectual ,1666-1508,15-Dec-2016,Journal not adhering to Best practice
Open Access Journal of Medicinal and Aromatic Plants,0974-7877,14-Dec-2016,Has not published enough articles this calendar year
Èkonomičeskaâ Sociologiâ,1726-3247,14-Dec-2016,No licence
Magazine of Civil Engineering,2071-4726,12-Dec-2016,Journal not adhering to Best practice
CBU International Conference Proceedings,1805-997X,10-Dec-2016,Journal not adhering to Best practice
International Journal of Motorcycle Studies,1931-275X,8-Dec-2016,Journal not adhering to Best practice
International Journal of Teaching and Learning in Higher Education,1812-9129,8-Dec-2016,Journal not adhering to Best practice
Revista ANACEM,0718-5308,8-Dec-2016,Journal not adhering to Best practice
Potravinarstvo,1338-0230,8-Dec-2016,Journal not adhering to Best practice
Econ Journal Watch,1933-527X,8-Dec-2016,Journal not adhering to Best practice
Teoría y Praxis,1870-1582,7-Dec-2016,Journal not adhering to Best practice
Boletín de Filología,0067-9674,7-Dec-2016,Journal not adhering to Best practice
Rétor,1853-6034,7-Dec-2016,Journal not adhering to Best practice
Revista Chilena de Neuropsicología,0718-0551,7-Dec-2016,Journal not adhering to Best practice
New Balkan Politics,1409-8709,5-Dec-2016,"no licence, no OA statement"
Electronic Journal of Boundary Elements (EJBE),1542-3891,5-Dec-2016,Has not published enough articles this calendar year
Fronteras de la Historia,2027-4688,5-Dec-2016,Journal not adhering to Best practice
Mora (Buenos Aires),0328-8773,5-Dec-2016,Journal not adhering to Best practice
The Canadian Journal of Sociology,0318-6431,4-Dec-2016,Journal not adhering to Best practice
L'Infirmière Clinicienne,1923-5577,4-Dec-2016,Journal not adhering to Best practice
Corela,1638-5748,3-Dec-2016,Journal not adhering to Best practice
Comptabilité(s): Revue d'Histoire des Comptabilités,1775-3554,3-Dec-2016,Journal not adhering to Best practice
Trans: Revue de Littérature Générale et Comparée,1778-3887,3-Dec-2016,Journal not adhering to Best practice
Aktuální Otázky Sociální Politiky: Teorie a Praxe,1804-9095,2-Dec-2016,stopped publishing
Applicable Analysis and Discrete Mathematics,1452-8630,1-Dec-2016,Journal not adhering to Best practice
JK Science: Journal of Medical Education & Research,0972-1177,30-Nov-2016,Journal not adhering to Best practice
"Science, Religion and Culture",2055-222X,30-Nov-2016,Journal not adhering to Best practice
British Journal of Virology,2055-6128,30-Nov-2016,Journal not adhering to Best practice
Journal of Pharma Research,2319-5622,30-Nov-2016,Journal not adhering to Best practice
International Journal of Innovative Research and Development,2278-0211,29-Nov-2016,Journal not adhering to Best practice
Communications in Biometry and Crop Science,1896-0782,29-Nov-2016,No license nor Open Access statement
REMISE: Revue de Microbiologie Industrielle Sanitaire et Environnementale,2028-0351,29-Nov-2016,Journal not adhering to Best practice
Journal of University Medical & Dental College,2310-5542,29-Nov-2016,Journal not adhering to Best practice
Journal of Computing,2151-9617,28-Nov-2016,Journal not adhering to Best practice
Afro-Ásia,0002-0591,29-Nov-2016,Journal not adhering to Best practice
Eesti Majanduspoliitilised Väitlused,1736-5597,28-Nov-2016,Reapp. not adhering to Best practice
Vestnik Kievskogo Politehničeskogo Instituta: Radiotehnika ,0203-6584,27-Nov-2016,Web site URL no longer works
Literatura y Lingüística,0717-621X,27-Nov-2016,Journal not adhering to Best practice
Revista Geológica de América Central,0256-7024,27-Nov-2016,Journal not adhering to Best practice
Journal of Academic and Applied Studies,1925-931X,27-Nov-2016,Journal not adhering to Best practice
Microbiology Research,2036-7481,27-Nov-2016,Requires user registration
The Canadian Journal of Career Development,1499-1845,27-Nov-2016,Journal not adhering to Best practice
Revue Historique des Armées,0035-3299,27-Nov-2016,Journal not adhering to Best practice
Acta Silvae et Ligni,2335-3112,25-Nov-2016,Journal not adhering to Best practice
The Journal of Social Work Values and Ethics,1553-6947,23-Nov-2016,Journal not adhering to Best practice
AAUP Journal of Academic Freedom ,2153-8492,23-Nov-2016,Journal not adhering to Best practice
Methodist Review,1946-5254,23-Nov-2016,Journal not adhering to Best practice
University of Pittsburgh Law Review,1942-8405,24-Nov-2016,No editorial board
Pittsburgh Journal of Technology Law & Policy,2164-800X,24-Nov-2016,No editorial board
Journal of Law and Commerce,2164-7984,24-Nov-2016,No editorial board
Koncept (Kirov),2304-120X,23-Nov-2016,No licence
Revista de Bioética y Derecho,1886-5887,22-Nov-2016,Journal not adhering to Best practice
Política y Sociedad,1988-3129,22-Nov-2016,Journal not adhering to Best practice
Comunicación y Sociedad,0188-252X,22-Nov-2016,Journal not adhering to Best practice
Annaly Aritmologii,1814-6791,22-Nov-2016,No licence
Scriptura,2305-445X,21-Nov-2016,Journal not adhering to Best practice
Revista Ciencias Técnicas Agropecuarias,2071-0054,21-Nov-2016,Journal not adhering to Best practice
Revista Costarricense de Salud Pública,1409-1429,21-Nov-2016,Journal not adhering to Best practice
Revista Costarricense de Cardiología,1409-4142,21-Nov-2016,Journal not adhering to Best practice
Revista Reflexiones,1659-2859,21-Nov-2016,Journal not adhering to Best practice
REFLEXIÓN POLÍTICA,0124-0781,20-Nov-2016,Journal not adhering to Best practice
Avances en Química,1856-5301,20-Nov-2016,Journal not adhering to Best practice
Revista Electrónica de PortalesMedicos.com,1886-8924,20-Nov-2016,Journal not adhering to Best practice
Denkströme: Journal der Sächsischen Akademie der Wissenschaften,1867-7061,20-Nov-2016,Journal not adhering to Best practice
Endocrinology Studies,2038-9523,20-Nov-2016,Ceased publishing
Life Span and Disability,2035-5963,20-Nov-2016,Journal not adhering to Best practice
International Journal of Plant Biology,2037-0164,20-Nov-2016,Journal is no longer Open Access
Medical Education Development,2038-954X,20-Nov-2016,Ceased publishing
Revista Alpha ,0718-2201,20-Nov-2016,Journal not adhering to Best practice
Surgical Techniques Development,2038-9582,15-Nov-2016,Has not published enough articles this calendar year
Journal of the Siena Academy of Sciences,2279-8811,15-Nov-2016,Ceased publishing
Ageing Research,2036-7376,15-Nov-2016,Ceased publishing
"Rationality, Markets and Morals",1869-778X,15-Nov-2016,No license
Samples : Online-Publikationen der Gesellschaft für Popularmusikforschung,1612-8001,15-Nov-2016,No license
Journal of Approximation Theory and Applied Mathematics,2196-1581,15-Nov-2016,Has not published enough articles this calendar year
Zeitschrift für Nachwuchswissenschaftler,1869-6139,15-Nov-2016,Has not published enough articles this calendar year
Münster Journal of Mathematics,1867-5786,15-Nov-2016,No license
Champ Pénal,1777-5272,15-Nov-2016,Journal not adhering to Best practice
Geo-Analyst,2249-2909,15-Nov-2016,Journal not adhering to Best practice
International Journal of Leadership Studies,1554-3145,14-Nov-2016,Ceased publishing
African East-Asian Affairs,2308-8699,14-Nov-2016,Ceased publishing
Lexikos,2224-0039,14-Nov-2016,"No licence , peer review inadequate"
"Law, Democracy & Development ",2077-4907,14-Nov-2016,"No licence , peer review inadequate"
Scientia Militaria : South African Journal of Military Studies,2224-0020,14-Nov-2016,"No licence , peer review inadequate"
African Population Studies,2308-7854,14-Nov-2016,"No licence , peer review inadequate"
Nonsite,2164-1668,14-Nov-2016,No licence nor OA statement
MedUNAB,0123-7047,11-Nov-2016,Journal not adhering to Best practice
Pensamiento Constitucional,1027-6769,11-Nov-2016,Journal not adhering to Best practice
Revista Enfoques: Ciencia Política y Administración Pública,0718-0241,11-Nov-2016,Journal not adhering to Best practice
Technical Acoustics,1819-2408,11-Nov-2016,Journal not adhering to Best practice
Temps d'Educació,2014-7627,11-Nov-2016,No OA statement
Economia Aziendale Online,2038-5498,11-Nov-2016,No licence nor OA statement
Journal of Extension,1077-5315,11-Nov-2016,No open access licensing terms
Journal of Interactive Technology and Pedagogy,2166-6245,11-Nov-2016,no open access licensing description
Southern Spaces,1551-2754,11-Nov-2016,no open access licensing terms
ICIDCA: Sobre los Derivados de la Caña de Azúcar,0138-6204,10-Nov-2016,Journal not adhering to Best practice
IE comunicaciones ,1699-4574,10-Nov-2016,Journal not adhering to Best practice
Poiésis: Revista Electrónica de Psicología Social,1692-0945,10-Nov-2016,Ceased publishing
Egyptian Journal of Hospital Medicine ,2090-7125,9-Nov-2016,Journal not adhering to Best practice
Revista de Arquitectura e Ingenieria,1990-8830,8-Nov-2016,No OA statement
Revista CENIC : Ciencias Biológicas,2221-2450,8-Nov-2016,No OA statement
Cultivos Tropicales,1819-4087,8-Nov-2016,Journal not adhering to Best practice
PASOS Revista de Turismo y Patrimonio Cultural,1695-7121,8-Nov-2016,No OA statement
GIGAPP Estudios,2174-9515,7-Nov-2016,Journal not adhering to Best practice
Pesticidi i Fitomedicina,1820-3949,6-Nov-2016,Journal not adhering to Best practice
International Journal of Software Engineering,2090-1801,6-Nov-2016,Requires user registration
Smile Dental Journal,2072-4748,6-Nov-2016,Journal not adhering to Best practice
International Journal of Human Geography and Environmental Studies,2036-7910,5-Nov-2016,Journal not adhering to Best practice
Revista Portuguesa de Cirurgia,2183-1165,5-Nov-2016,Journal not adhering to Best practice
"Humano, creativamente humano",2386-7361,5-Nov-2016,Journal not adhering to Best practice
AV Notas,2529-8577,5-Nov-2016,Journal not adhering to Best practice
International Journal of Sustainability Science and Studies,2036-7929,5-Nov-2016,Journal not adhering to Best practice
International Arab Journal of e-Technology ,1997-6364,4-Nov-2016,No licence nor OA statement
Archives of Razi Institute,2008-9872,4-Nov-2016,Journal not adhering to Best practice
Revista Mexicana de Ingeniería Biomédica,2395-9126,3-Nov-2016,No licence nor OA statement
Ingeniare,2390-0504,3-Nov-2016,Journal not adhering to Best practice
e-journal of Portuguese History,1645-6432,3-Nov-2016,No licence nor OA statement
Minority Reports. Cultural Disabilites Studies,2465-0315,3-Nov-2016,No licence nor OA statement
iForest : Biogeosciences and Forestry,1971-7458,3-Nov-2016,No licence nor OA statement
Avances,1562-3297,1-Nov-2016,Journal not adhering to Best practice
Iranica Journal of Energy and Environment (IJEE),2079-2123,1-Nov-2016,"no licensing, "
Zeitschrift für Kritische Musikpädagogik (ZfKM),1619-8301,1-Nov-2016,No licence nor OA statement
Speculum,1810-4797,1-Nov-2016,Journal not adhering to Best practice
No Solo Usabilidad Journal,1886-8592,1-Nov-2016,Journal not adhering to Best practice
Revista de Investigación en Educación,2172-3427,1-Nov-2016,Journal not adhering to Best practice
Interculture Journal : Online Zeitschrift für Interkulturelle Studien,2196-9485,31-Oct-2016,Journal not adhering to Best practice
International Journal of Online Engineering (iJOE),1861-2121,31-Oct-2016,Requires user registration
International Journal of Interactive Mobile Technologies (iJIM),1865-7923,31-Oct-2016,Requires user registration
Ángulo Recto,1989-4015,30-Oct-2016,No licence nor OA statement
452º F : Revista de Teoría de la Literatura y Literatura Comparada,2013-3294,30-Oct-2016,Journal not adhering to Best practice
Vox Scripturae - Revista Teológica Internacional,2447-7443,28-Oct-2016,No OA statement
Geografia em Questão,1982-8942,28/10/2016,Journal not adhering to Best practice
Psicanálise & Barroco em Revista,1679-9887,28/10/2016,Journal not adhering to Best practice
Journal of Curriculum and Instruction,1937-3929,12-Oct-2016,Journal not adhering to Best practice
Scientia Magna,1556-6706,12-Oct-2016,Journal not adhering to Best practice
Retrovirology : Research and Treatment,1178-1238,26/10/2016,Journal not adhering to Best practice
Statistics Surveys,1935-7516,26/10/2016,Journal not adhering to Best practice
Open Journal of Cardiovascular Surgery,1179-0652,26/10/2016,Journal not adhering to Best practice
Palliative Care : Research and Treatment,1178-2242,26/10/2016,Journal not adhering to Best practice
"Journal of Business Systems, Governance and Ethics",1833-4318,26/10/2016,Journal not adhering to Best practice
Laissez-Faire,1683-9145,26/10/2016,Journal not adhering to Best practice
Cuaderno de Educación y Desarrollo,1989-4155,26/10/2016,Journal not adhering to Best practice
Journal of Rehabilitation Research and Development,0748-7711,26/10/2016,Journal not adhering to Best practice
Mutatis Mutandis : Revista Latinoamericana de Traducción,2011-799X,26/10/2016,Journal not adhering to Best practice
Almanack,2236-4633,26/10/2016,Journal not adhering to Best practice
Revista Observaciones Filosóficas,0718-3712,26/10/2016,Journal not adhering to Best practice
Zerbitzuan,1134-7147,26/10/2016,Journal not adhering to Best practice
E.I.A.L. : Estudios Interdisciplinarios de America Latina y el Caribe,0792-7061,26/10/2016,Journal not adhering to Best practice
Morfismos,1870-6525,26/10/2016,Journal not adhering to Best practice
Cuadernos de Vivienda y Urbanismo,2027-2103,26/10/2016,Journal not adhering to Best practice
Sæculum : Revista de História,0104-8929,26/10/2016,Journal not adhering to Best practice
Via Atlântica,1516-5159,26/10/2016,Journal not adhering to Best practice
La Zaranda de Ideas : Revista de Jóvenes Investigadores en Arqueología,1669-7456,26/10/2016,Journal not adhering to Best practice
Sintagma : Revista de Lingüística,0214-9141,26/10/2016,Journal not adhering to Best practice
Paremia,1132-8940,26/10/2016,Journal not adhering to Best practice
Revista Nacional de Administración,1659-4908,26/10/2016,Journal not adhering to Best practice
Acta Comportamentalia : Revista Latina de Análisis del Comportamiento,0188-8145,26/10/2016,Journal not adhering to Best practice
Pathos: Trimestrale di Algologia,1593-2354,26/10/2016,Journal not adhering to Best practice
Cadernos de Pesquisa,0100-1574,26/10/2016,Journal not adhering to Best practice
Revista do Colégio Brasileiro de Cirurgiões,0100-6991,26/10/2016,Journal not adhering to Best practice
Novos Estudos Cebrap,0101-3300,26/10/2016,Journal not adhering to Best practice
Lua Nova : Revista de Cultura e Política,0102-6445,26/10/2016,Journal not adhering to Best practice
Polímeros,0104-1428,26/10/2016,Journal not adhering to Best practice
Rem : Revista Escola de Minas,0370-4467,26/10/2016,Journal not adhering to Best practice
Journal of Theoretical and Applied Electronic Commerce Research,0718-1876,26/10/2016,Journal not adhering to Best practice
Engenharia Sanitaria e Ambiental,1413-4152,26/10/2016,Journal not adhering to Best practice
Revista de Economia Contemporânea,1415-9848,26/10/2016,Journal not adhering to Best practice
Hyle : International Journal for Philosophy of Chemistry,1433-5158,26/10/2016,Journal not adhering to Best practice
Zeithistorische Forschungen,1612-6033,26/10/2016,Journal not adhering to Best practice
Scientiae Studia,1678-3166,26/10/2016,Journal not adhering to Best practice
Neotropical Ichthyology,1679-6225,26/10/2016,Journal not adhering to Best practice
BAR : Brazilian Administration Review,1807-7692,26/10/2016,Journal not adhering to Best practice
Sexual Offender Treatment,1862-2941,26/10/2016,Journal not adhering to Best practice
Mariologisches Jahrbuc,1862-7013,26/10/2016,Journal not adhering to Best practice
International Journal of Emerging Technologies in Learning (iJET,1863-0383,26/10/2016,Journal not adhering to Best practice
African Journal of Biochemistry Research,1996-0778,26/10/2016,Journal not adhering to Best practice
Journal of Indigenous Social Development,2164-9170,26/10/2016,Journal not adhering to Best practice
Journal of Linguistics and Language Teaching,2190-4677,26/10/2016,Journal not adhering to Best practice
Journal of PharmaSciTech,2231-3788,26/10/2016,Journal not adhering to Best practice
Global Journal Al-Thaqafah,2232-0474,26/10/2016,Journal not adhering to Best practice
Journal of Evolution of Medical and Dental Sciences,2278-4748,26/10/2016,Journal not adhering to Best practice
Revista Argentina de clinica psicologica,1851-7951,26-Oct-2016,No licence nor OA statement
The International Arab Journal of Information Technology,1683-3198,25-Oct-2016,Journal not adhering to Best practice
Encuentro : Revista de Investigación e Innovación en la Clase de Idiomas,1989-0796,25-Oct-2016,Journal not adhering to Best practice
Traitement Automatique des Langues,1248-9433,24-Oct-2016,Journal not adhering to Best practice
ITF Coaching and Sport Science Review,2225-4757,24-Oct-2016,Has not published enough articles this calendar year
International Journal of Emotional Education,2073-7629,23-Oct-2016,No licence
Paediatrics Today,1840-0914,23-Oct-2016,Journal is no longer Open Access
Neftegazovaâ Geologiâ: Teoriâ i Praktika ,2070-5379,23-Oct-2016,Journal not adhering to Best practice
Vox Iuris,1812-6804,23-Oct-2016,Journal not adhering to Best practice
International Journal of Research In Computer Science,2249-8265,22-Oct-2016,Journal not adhering to Best practice
Biomechanica Hungarica,2060-0305,22-Oct-2016,Journal not adhering to Best practice
European Scientific Journal,1857-7881,22-Oct-2016,Journal not adhering to Best practice
Urbani Izziv,0353-6483,22-Oct-2016,Journal not adhering to Best practice
Mathématiques et Sciences Humaines,0987-6936,20-Oct-2016,Journal not adhering to Best practice
Vjesnik za Arheologiju i Povijest Dalmatinsku,1845-7789,18-Oct-2016,No licence nor OA statement
International Review of Management and Business Research,2306-9007,18-Oct-2016,Journal not adhering to Best practice
Global Media Journal : Pakistan Edition,2070-2469,18-Oct-2016,Journal not adhering to Best practice
International Journal of Academic Research in Business and Social Sciences,2222-6990,18-Oct-2016,Journal not adhering to Best practice
Universia Business Review,1698-5117,18-Oct-2016,Journal not adhering to Best practice
SORT,2013-8830,18-Oct-2016,Journal not adhering to Best practice
Evolução e Conservação da Biodiversidade,2236-3866,17-Oct-2016,Journal not adhering to Best practice
Electronic Journal of Research in Educational Psychology,1696-2095,17-Oct-2016,Journal not adhering to Best practice
Trabalho & Educação,1516-9537,17-Oct-2016,Journal not adhering to Best practice
Semen,0761-2990,15-Oct-2016,Journal not adhering to Best practice
Cahiers d’Asie Centrale,1270-9247,15-Oct-2016,Journal not adhering to Best practice
Journal of Young Pharmacists,0975-1483,14-Oct-2016,Journal not adhering to Best practice
RGUSH Journal of Pharmaceutical Sciences,2249-2208,14-Oct-2016,Journal not adhering to Best practice
"Oncology, Gastroenterology and Hepatology Reports",2278-8921,14-Oct-2016,Journal not adhering to Best practice
International Journal of Medicine and Public Health,2230-8598,14-Oct-2016,Journal not adhering to Best practice
Journal of Scientometric Research,2321-6654,14-Oct-2016,Journal not adhering to Best practice
British Journal of Pharmacology and Toxicology,2044-2459,14-Oct-2016,Journal not adhering to Best practice
Asian Journal of Agricultural Sciences,2041-3882,14-Oct-2016,Journal not adhering to Best practice
Research Journal of Environmental and Earth Sciences,2041-0484,14-Oct-2016,Journal not adhering to Best practice
International Journal of Animal and Veterinary Advances,2041-2894,14-Oct-2016,Journal not adhering to Best practice
Current Research Journal of Social Science,2041-3238,14-Oct-2016,Journal not adhering to Best practice
Current Research Journal of Economic Theory,2042-4841,14-Oct-2016,Journal not adhering to Best practice
"Research Journal of Applied Sciences, Engineering and Technology    ",2040-7459,14-Oct-2016,Journal not adhering to Best practice
Current Research Journal of Biological Sciences,2041-076X,14-Oct-2016,Journal not adhering to Best practice
Advance Journal of Food Science and Technology,2042-4868,14-Oct-2016,Journal not adhering to Best practice
Asian Journal of Business Management,2041-8744,14-Oct-2016,Journal not adhering to Best practice
Bioscience Discovery,2229-3469,14-Oct-2016,Journal not adhering to Best practice
Sciences Eaux & Territoires: la Revue du IRSTEA,2109-3016,13-Oct-2016,Journal not adhering to Best practice
BioRisk,1313-2644,13-Oct-2016,Has not published enough articles this calendar year
Sociosfera,2078-7081,13-Oct-2016,Journal not adhering to Best practice
Talia Dixit,1886-9440,13-Oct-2016,Journal not adhering to Best practice
PPAR Research,1687-4757,13-Oct-2016,Not in the issn database
Bioinorganic Chemistry and Applications,1565-3633,13-Oct-2016,Not in the issn database
Global Journal of Mathematical Analysis,2307-9002,11-Oct-2016,Journal not adhering to Best practice
International Journal of Advanced Statistics and Probability,2307-9045,11-Oct-2016,Journal not adhering to Best practice
International Journal of Engineering & Technology,2227-524X,11-Oct-2016,Journal not adhering to Best practice
International Journal of Advanced Nursing Studies,2227-488X,11-Oct-2016,Journal not adhering to Best practice
International Journal of Applied Mathematical Research,2227-4324,11-Oct-2016,Journal not adhering to Best practice
Czytanie Literatury. (Łódzkie Studia Literaturoznawcze),2449-8386,11-Oct-2016,Journal not adhering to Best practice
Transitional Water Bulletin,1825-229X,11-Oct-2016,Has not published enough articles this calendar year
International Journal of Business Research and Management ,2180-2165,10-Oct-2016,Journal not adhering to Best practice
International Journal of Image Processing,1985-2304,10-Oct-2016,Journal not adhering to Best practice
International Journal of Engineering,1985-2312,10-Oct-2016,Journal not adhering to Best practice
International Journal of Biometric and Bioinformatics,1985-2347,10-Oct-2016,Journal not adhering to Best practice
